Macroregiao,name,Populacao,Crime/1000hab,Furto/1000hab,Roubo/1000hab,HomDol/1000hab,PosseDrogas/1000hab,Trafico/1000hab,Educacao,Renda,Saúde,PIB,PIB por habitante,regiao
Centro-Oeste,AGUDO,17044,10.1501994837,7.9206758977,0.4693733865,0,0.1760150199,0.2933583666,0.626188886205752,0.688770692745747,0.793492683593604,2939843673,95793.2,Female
Centro-Oeste,ALEGRETE,78056,16.8340678487,11.2483345291,1.1530183458,0.1409244645,1.1530183458,0.7814902122,0.744784422258116,0.629796201934745,0.806050767339717,13011543179,85310.02,Female
Centro-Oeste,BARRA DO QUARAI,3579,15.9262363789,13.6909751327,0.8382229673,0,0.5588153115,0.2794076558,0.709609375834349,0.598657408522338,0.801579472670476,1218572294,145204.6,Female
Centro-Oeste,CACEQUI,13430,23.0826507818,20.253164557,0.5212211467,0,0.3723008191,0.0744601638,0.67023977398117,0.573963778422486,0.781164101566575,1992540562,78233.59,Female
Centro-Oeste,CAPAO DO CIPO,3042,11.1768573307,7.8895463511,0.328731098,0,0,0,0.592143440053577,0.765932498121475,0.839427028329774,1367163488,265304.69,Female
Centro-Oeste,DILERMANDO DE AGUIAR,2930,20.4778156997,17.747440273,0.3412969283,0,0,0,0.583863129258508,0.660796193470703,0.855321879011316,616292895,114054.31,Female
Centro-Oeste,DONA FRANCISCA,3319,16.5712564025,12.9557095511,0.6025911419,0,0.301295571,0.301295571,0.808172728570591,0.596806858480521,0.833763768875684,476896283,76356.64,Female
Centro-Oeste,FAXINAL DO SOTURNO,6792,10.6007067138,7.9505300353,1.0306242638,0,0.1472320377,0.2944640754,0.717546193040489,0.665355570619952,0.851991933118097,1102766209,96524.74,Female
Centro-Oeste,FORMIGUEIRO,6768,12.5591016548,9.3085106383,0.1477541371,0.1477541371,0,0.4432624113,0.695588661336421,0.610507182384017,0.788372576346454,1029469844,77956.08,Female
Centro-Oeste,ITAARA,5133,15.3906097799,11.6890707189,0.9740892266,0,0.1948178453,0.3896356906,0.771207197417688,0.633067167301929,0.804113631932667,559303928,61942.26,Female
